,ID
0,pc01009
1,pb0341
2,pa1765
3,pb0272
4,pb07474
5,next to pb0792
6,pc03236
7,pb32337
8,pa1857
9,pa19851
10,pb0431
11,pc03232
12,pc01218
13,pb0447
14,left of pc2517
