Face,Side,Under,Top,Plant No,Red,Yellow,Venation,Scorer,Comments,,,,,,,,
P06179438,P06179439,P06179440,P06179441,pB1274,4,0.5,3,Helena and PS,,,,,,,,,
P06179442,P06179443,P06179444,P06179445,pB1278,1.5,1,1.5,Helena and PS,,,,,,,,,
P06179446,P06179447,P06179448,P06179449,pB1342,4,1,3,Helena and PS,,,,,,,,,
P06179450,P06179451,P06179452,P06179453,pB1333,3.5,0.5,3,Helena and PS,,,,,,,,,
P06179454,P06179455,P06179456,P06179457,pB1347,4,1,3,Helena and PS,,,,,,,,,
P06179458,P06179459,P06179460,P06179461,pB1354,3.5,1,3,Helena and PS,,,,,,,,,
P06179462,P06179463,P06179464,P06179465,pB1352,4,1,3.5,Helena and PS,,,,,,,,,
P06179466,P06179467,P06179468,P06179469,pB1410,4,1,3.5,Helena and PS,,,,,,,,,
P06179470,P06179471,P06179472,P06179473,pB1416,3.5,0.5,3.5,Helena and PS,,,,,,,,,
P06179474,P06179475,P06179476,P06179477,pB1414,3,1,4,Helena and PS,,,,,,,,,
P06179478,P06179479,P06179480,P06179481,pB1443,4,0.5,3.5,Helena and PS,,,,,,,,,
P06179482,P06179483,P06179484,P06179485,pB1415,4,0.5,3.5,Helena and PS,,,,,,,,,
P06179486,P06179487,P06179488,P06179489,pB1328,3.5,1,3.5,Helena and PS,,,,,,,,,
P06179490,P06179491,P06179492,P06179493,pB1407,4,1,3.5,Helena and PS,Damaged,,,,,,,,
P06179494,P06179495,P06179496,P06179497,pB1412,na,1,na,Helena and PS,Damaged,,,,,,,,
P06179498,P06179499,P06179500,P06179501,pB1345,4,0.5,3.5,Helena and PS,,,,,,,,,
P06179502,P06179503,P06179504,P06179505,pB1442,3.5,0.5,3.5,Helena and PS,,,,,,,,,
P06179506,P06179507,P06179508,P06179509,pB1411,3.5,1,3.5,Helena and PS,,,,,,,,,
P06179510,P06179511,P06179512,P06179513,pB1262,3.5,1,3.5,Helena and PS,,,,,,,,,
P06179514,P06179515,P06179516,P06179517,pB1350,4,0.5,3,Helena and PS,,,,,,,,,
P06179518,P06179519,P06179520,P06179521,pB1420,4,1,3.5,Helena and PS,,,,,,,,,
P06179522,P06179523,P06179524,P06179525,pB1359,4,0.5,3,Helena and PS,,,,,,,,,
P06179526,P06179527,P06179528,P06179529,pB1446,3.5,0.5,3,Helena and PS,,,,,,,,,
P06179530,P06179531,P06179532,P06179533,pB1419,3.5,1,3,Helena and PS,,,,,,,,,
P06179534,P06179535,P06179536,P06179537,pB1265,3,1,3,Helena and PS,,,,,,,,,
P06179538,P06179539,P06179540,P06179541,pB1403,4,0.5,3,Helena and PS,,,,,,,,,
P06179542,P06179543,P06179544,P06179545,pB1445,3.5,0.5,3,Helena and PS,,,,,,,,,
P06179546,P06179547,P06179548,P06179549,pB1348,4,0.5,3,Helena and PS,,,,,,,,,
P06179550,P06179551,P06179552,P06179553,pB1404,3,1,3.5,Helena and PS,,,,,,,,,
P06179554,P06179555,P06179556,P06179557,pB1257,4,1,3,Helena and PS,,,,,,,,,
P06179558,P06179559,P06179560,P06179561,pB1325,3.5,1,1,Helena and PS,,,,,,,,,
P06179562,P06179563,P06179564,P06179565,pB1353,3,1,1,Helena and PS,,,,,,,,,
P06179566,P06179567,P06179568,P06179569,pB1356,4,0.5,3,Helena and PS,,,,,,,,,
P06179570,P06179571,P06179572,P06179573,pB1447,,1,3.5,Helena and PS,,,,,,,,,
P06179574,P06179575,P06179576,P06179577,pB1360,3.5,0.5,3,Helena and PS,,,,,,,,,
P06179578,P06179579,P06179580,P06179581,pB1334,4,1,3,Helena and PS,,,,,,,,,
P06179582,P06179583,P06179584,P06179585,pB1266,3.5,1,3,Helena and PS,Damaged,,,,,,,,
P06179586,P06179587,P06179588,P06179589,pB1344,3.5,0.5,3.5,Helena and PS,,,,,,,,,
P06179590,P06179591,P06179592,P06179593,pB1244,3.5,0.5,3,Helena and PS,,,,,,,,,
P06179594,P06179595,P06179596,P06179597,pB1337,3.5,0.5,3.5,Helena and PS,,,,,,,,,
P06179598,P06179599,P06179600,P06179601,pB1326,3.5,0.5,3.5,Helena and PS,,,,,,,,,
P06179602,P06179603,P06179604,P06179605,pB1248,0.5,1,3,Helena and PS,,,,,,,,,
P06179608,P06179609,P06179610,P06179611,pB1329,4,0.5,3.5,Helena and PS,,,,,,,,,
P06179612,P06179613,P06179614,P06179615,pB1331,3,0.5,3,Helena and PS,,,,,,,,,
P06179616,P06179617,P06179618,P06179619,pB1346,3,0.5,3.5,Helena and PS,,,,,,,,,
P06179620,P06179621,P06179622,P06179623,pB1321,3.5,1,3,Helena and PS,,,,,,,,,
P06179624,P06179625,P06179626,P06179627,pB1264,4,1,3,Helena and PS,,,,,,,,,
P06179628,P06179629,P06179630,P06179631,pB1339,4,0.5,3.5,Helena and PS,,,,,,,,,
P06179632,P06179633,P06179634,P06179635,pB1441,3.5,0.5,3,Helena and PS,,,,,,,,,
P06179636,P06179637,P06179638,P06179639,pB1423,3,0.5,3,Helena and PS,,,,,,,,,
P06179640,P06179641,P06179642,P06179643,pB1271,3.5,1,3.5,Helena and PS,,,,,,,,,
P06179644,P06179645,P06179646,P06179647,pB1336,3,0.5,3,Helena and PS,,,,,,,,,
P06179648,P06179649,P06179650,P06179651,pB1332,4,0.5,3,Helena and PS,,,,,,,,,
P06179652,P06179653,P06179654,P06179655,pB1254,4.5,0.5,3,Helena and PS,,,,,,,,,
P06179656,P06179657,P06179658,P06179659,pB1413,4,1,3,Helena and PS,,,,,,,,,
P06189662,P06189663,P06189664,P06189665,pB1004,4,1,3,Sean and PS,,,,,,,,,
P06189666,P06189667,P06189668,P06189669,pB1114,4,1,3,Sean and PS,,,,,,,,,
P06189670,P06189671,P06189672,P06189673,pB1109,4,1,1,Sean and PS,,,,,,,,,
P06189674,P06189675,P06189676,P06189677,pB1507,4.5,0.5,3,Sean and PS,,,,,,,,,
P06189678,P06189679,P06189680,P06189681,pB1530,3.5,0.5,3.5,Sean and PS,,,,,,,,,
P06189682,P06189683,P06189684,P06189685,pB1110,4.5,1,3.5,Sean and PS,,,,,,,,,
P06189686,P06189687,P06189688,P06189689,pB1157,3,0.5,2.5,Sean and PS,,,,,,,,,
P06189690,P06189691,P06189692,P06189693,pB1258,2,1,2.5,Sean and PS,,,,,,,,,
P06189694,P06189695,P06189696,P06189697,pB1501,3.5,0.5,3,Sean and PS,,,,,,,,,
P06189698,P06189699,P06189700,P06189701,pB1492,4,1,3.5,Sean and PS,,,,,,,,,
P06189702,P06189703,P06189704,P06189705,pB1509,3.5,1,3.5,Sean and PS,,,,,,,,,
P06189706,P06189707,P06189708,P06189709,pB1246,4,1,3,Sean and PS,,,,,,,,,
P06189710,P06189711,P06189712,P06189713,pB1510,4,1,3.5,Sean and PS,,,,,,,,,
P06189714,P06189715,P06189716,P06189717,pB1506,4,0.5,3,Sean and PS,,,,,,,,,
P06189718,P06189719,P06189720,P06189721,pB1290,4,0.5,3,Sean and PS,,,,,,,,,
P06189722,P06189723,P06189724,P06189725,pB1256,4,1,3,Sean and PS,,,,,,,,,
P06189726,P06189727,P06189728,P06189729,pB1503,4,1,3.5,Sean and PS,,,,,,,,,
P06189730,P06189731,P06189732,P06189733,pB1102,4,0.5,3,Sean and PS,,,,,,,,,
P06189734,P06189735,P06189736,P06189737,pB1479,4,1,3,Sean and PS,,,,,,,,,
P06189738,P06189739,P06189740,P06189741,pB1478,4,0.5,3,Sean and PS,,,,,,,,,
P06189742,P06189743,P06189744,P06189745,pB1245,3.5,1,3,Sean and PS,,,,,,,,,
P06189746,P06189747,P06189748,P06189749,pB1250,4,0.5,3,Sean and PS,,,,,,,,,
P06189750,P06189751,P06189752,P06189753,pB1502,3.5,2,na,Sean and PS,,,,,,,,,
P06189754,P06189755,P06189756,P06189757,pB1508,3.5,1,3.5,Sean and PS,,,,,,,,,
P06189758,P06189759,P06189760,P06189761,pB1119,4,0.5,3.5,PS,,,,,,,,,
P06189762,P06189763,P06189764,P06189765,pB1113,3.5,1,3,PS,,,,,,,,,
P06189766,P06189767,P06189768,P06189769,pB1539,3.5,1,3,PS,,,,,,,,,
P06189770,P06189771,P06189772,P06189773,pB1532,4,0.5,3.5,PS,,,,,,,,,
P06189774,P06189775,P06189776,P06189777,pB1545,4,1,3,PS,,,,,,,,,
P06189778,P06189779,P06189780,P06189781,pB1548,4,1,3,PS,,,,,,,,,
P06189782,P06189783,P06189784,P06189785,pB1546,3.5,1,3,PS,,,,,,,,,
P06189786,P06189787,P06189788,P06189789,pB1547,3,1,3.5,PS,,,,,,,,,
P06189790,P06189791,P06189792,P06189793,pB1550,3.5,1,3,PS,,,,,,,,,
P06189794,P06189795,P06189796,P06189797,pB1544,4,1,3.5,PS,,,,,,,,,
P06189798,P06189799,P06189800,P06189801,pB1531,3,1,3.5,PS,,,,,,,,,
P06189802,P06189803,P06189804,P06189805,pB1537,4,1,3.5,PS,,,,,,,,,
P06189806,P06189807,P06189808,P06189809,pB1541,4,1,4,PS,,,,,,,,,
P06189810,P06189811,P06189812,P06189813,pB1533,3.5,1,3.5,PS,,,,,,,,,
P06189814,P06189815,P06189816,P06189817,pB1542,3.5,1,3.5,PS,,,,,,,,,
P06189818,P06189819,P06189820,P06189821,pB1534,4,1,3.5,PS,,,,,,,,,
P06189822,P06189823,P06189824,P06189825,pB1549,3.5,1.5,3.5,PS,,,,,,,,,
P06189826,P06189827,P06189828,P06189829,pB1535,3.5,1,4,PS,,,,,,,,,
P06189830,P06189831,P06189832,P06189833,pB1538,3.5,1,3.5,PS,,,,,,,,,
P06189834,P06189835,P06189836,P06189837,pB1536,4,0.5,3.5,PS,,,,,,,,,
P06189838,P06189839,P06189840,P06189841,pB1543,3.5,1,0.5,PS,,,,,,,,,
P06189842,P06189843,P06189844,P06189845,pB1540,3.5,0.5,3.5,PS,,,,,,,,,
P06189846,P06189847,P06189848,P06189849,pB1471,4,1,3,PS,,,,,,,,,
P06189850,P06189851,P06189852,P06189853,pB1477,3.5,1,3,PS,,,,,,,,,
P06189854,P06189855,P06189856,P06189857,pB1475,3.5,1,3.5,PS,,,,,,,,,
P06189858,P06189859,P06189860,P06189861,pB1487,4,1,3.5,PS,,,,,,,,,
P06189862,P06189863,P06189864,P06189865,pB1255,4,1,3.5,PS,,,,,,,,,
P06189866,P06189867,P06189868,P06189869,pB1104,4,0.5,3.5,PS,,,,,,,,,
P06189870,P06189871,P06189872,P06189873,pB1476,4,1,3,PS,,,,,,,,,
P06189874,P06189875,P06189876,P06189877,pB1495,3.5,1,3.5,PS,,,,,,,,,
P06189878,P06189879,P06189880,P06189881,pB1115,4,1.5,1,PS,,,,,,,,,
P06189882,P06189883,P06189884,P06189885,pB1481,4,1,3,PS,,,,,,,,,
P06189886,P06189887,P06189888,P06189889,pB1474,3.5,1,3.5,PS,,,,,,,,,
P06189890,P06189891,P06189892,P06189893,pB1483,3.5,1,3.5,PS,,,,,,,,,
P06189894,P06189895,P06189896,P06189897,pB1108,4,0.5,na,PS,damaged,,,,,,,,
P06189898,P06189899,P06189900,P06189901,pB1480,4,1,3.5,PS,,,,,,,,,
P06189902,P06189903,P06189904,P06189905,pB1494,4,1,3.5,PS,,,,,,,,,
P06189906,P06189907,P06189908,P06189909,pB1450,3.5,0.5,3.5,PS,damaged,,,,,,,,
P06189910,P06189911,P06189912,P06189913,pB1490,4,0.5,3.5,PS,,,,,,,,,
P06189914,P06189915,P06189916,P06189917,pB1470,3,1,3.5,PS,,,,,,,,,
P06189918,P06189919,P06189920,P06189921,pB1101,4.5,0.5,3,Sean and PS,,,,,,,,,
P06189922,P06189923,P06189924,P06189925,pB1451,4,1,3.5,Sean and PS,,,,,,,,,
P06189926,P06189927,P06189928,P06189929,pB1465,4,0.5,3.5,Sean and PS,,,,,,,,,
P06189930,P06189931,P06189932,P06189933,pB1468,3.5,1,4,Sean and PS,,,,,,,,,
P06189934,P06189935,P06189936,P06189937,pB1496,3.5,1,3.5,Sean and PS,,,,,,,,,
P06189938,P06189939,P06189940,P06189941,pB1107,3.5,1,3.5,Sean and PS,,,,,,,,,
P06189942,P06189943,P06189944,P06189945,pB1489,4,0.5,3,Sean and PS,,,,,,,,,
P06189946,P06189947,P06189948,P06189949,pB1504,3.5,1,3,Sean and PS,,,,,,,,,
P06189950,P06189951,P06189953,P06189954,pB1259,4,1,3.5,Sean and PS,,,,,,,,,
P06189955,P06189956,P06189957,P06189958,pB1505,4,0.5,3,Sean and PS,,,,,,,,,
P06189959,P06189960,P06189961,P06189962,pB1105,4,1,3.5,Sean and PS,,,,,,,,,
P06189963,P06189964,P06189966,P06189967,pB1498,4,0.5,3.5,Sean and PS,,,,,,,,,
P06189968,P06189969,P06189970,P06189971,pB1486,4,0.5,3.5,Sean and PS,,,,,,,,,
P06189972,P06189973,P06189974,P06189975,pB1488,4,1,3.5,Sean and PS,,,,,,,,,
P06189976,P06189977,P06189978,P06189979,pB1106,3,1,3,Sean and PS,,,,,,,,,
P06189980,P06189981,P06189982,P06189983,pB1500,4,1,1,Sean and PS,,,,,,,,,
P06189984,P06189985,P06189986,P06189987,pB1117,3.5,0.5,3,Sean and PS,,,,,,,,,
P06189988,P06189989,P06189990,P06189991,pB1497,3.5,1,3.5,Sean and PS,,,,,,,,,
P06189992,P06189993,P06189994,P06189995,pB1610,4,1,1,Sean and PS,,,,,,,,,
P06189996,P06189997,P06189998,P06189999,pB1522,4,1,3,Sean and PS,,,,,,,,,
P06180001,P06180002,P06180003,P06180004,pB1586,4,1,3.5,Sean and PS,,,,,,,,,
P06180005,P06180006,P06180007,P06180008,pB1584,4,1,3,Sean and PS,,,,,,,,,
P06180009,P06180010,P06180011,P06180012,pB1593,4,1,3.5,Sean and PS,,,,,,,,,
P06180013,P06180014,P06180015,P06180016,pB1511,4.5,1,3.5,Sean and PS,,,,,,,,,
P06180017,P06180018,P06180019,P06180020,pB1585,4,0.5,4,Sean and PS,,,,,,,,,
P06180021,P06180022,P06180023,P06180024,pB1582,4,1,3,Sean and PS,,,,,,,,,
P06180025,P06180026,P06180027,P06180028,pB1574,1.5,1.5,2.5,Sean and PS,,,,,,,,,
P06180029,P06180030,P06180031,P06180032,pB1581,4,1,3.5,Sean and PS,,,,,,,,,
P06180033,P06180034,P06180035,P06180036,pB1578,3.5,1,na,Sean and PS,,,,,,,,,
P06180037,P06180038,P06180039,P06180040,pB1575,4,1,3.5,Sean and PS,,,,,,,,,
P06180041,P06180042,P06180043,P06180044,pB1523,4,0.5,3,Sean and PS,damaged,,,,,,,,
P06180045,P06180046,P06180047,P06180048,pB1577,4,0.5,3.5,Sean and PS,,,,,,,,,
P06180049,P06180050,P06180051,P06180054,pB1571,4,1,3.5,Sean and PS,,,,,,,,,
P06180055,P06180056,P06180057,P06180058,pB1517,4,0.5,na,Sean and PS,damaged,,,,,,,,
P06180059,P06180060,P06180061,P06180062,pB1576,4,0.5,4,Sean and PS,,,,,,,,,
P06180063,P06180064,P06180065,P06180066,pB1596,4,1,3,Sean and PS,,,,,,,,,
P06180067,P06180068,P06180069,P06180070,pB1529,3.5,1,3,Sean and PS,,,,,,,,,
P06180071,P06180072,P06180073,P06180074,pB1597,4,1,3,Sean and PS,,,,,,,,,
P06180075,P06180076,P06180077,P06180078,pB1512,3.5,1,3,Sean and PS,,,,,,,,,
P06180079,P06180080,P06180081,P06180082,pB1587,4,0.5,3,Sean and PS,,,,,,,,,
P06180083,P06180084,P06180085,P06180086,pB1520,3.5,1,3,Sean and PS,,,,,,,,,
P06180087,P06180088,P06180089,P06180090,pB1469,4,1,3,Sean and PS,,,,,,,,,
P06180091,P06180092,P06180093,P06180094,pB1573,4,1,1,Sean and PS,,,,,,,,,
P06180095,P06180096,P06180097,P06180098,pB1599,3.5,1,na,Sean and PS,,,,,,,,,
P06180099,P06180100,P06180101,P06180102,pB1527,4,1,4,Sean and PS,,,,,,,,,
P06180103,P06180104,P06180105,P06180106,pB1493,3.5,1.5,1,Sean and PS,,,,,,,,,
P06180107,P06180108,P06180109,P06180110,pB1462,4,1,3,Sean and PS,,,,,,,,,
P06180111,P06180112,P06180113,P06180114,pB1458,4,1,3.5,Sean and PS,damaged,,,,,,,,
P06180115,P06180116,P06180117,P06180118,pB1572,4.5,0.5,3,Sean and PS,,,,,,,,,
P06180119,P06180120,P06180121,P06180122,pB1609,4,1,3.5,Sean and PS,,,,,,,,,
P06180123,P06180124,P06180125,P06180126,pB1583,4,1,3.5,Sean and PS,,,,,,,,,
P06180127,P06180128,P06180129,P06180130,pB1519,3.5,1,3.5,Sean and PS,,,,,,,,,
P06180131,P06180132,P06180133,P06180134,pB1605,4,1,3,Sean and PS,,,,,,,,,
P06180135,P06180136,P06180137,P06180138,pB1607,4,0.5,3.5,Sean and PS,,,,,,,,,
P06180139,P06180140,P06180141,P06180142,pB1598,4,1,3.5,Sean and PS,,,,,,,,,
P06180143,P06180144,P06180145,P06180146,pB1590,3.5,1,3.5,Sean and PS,,,,,,,,,
P06180147,P06180148,P06180149,P06180150,pB1466,2.5,1.5,0.5,Sean and PS,,,,,,,,,
P06180151,P06180152,P06180153,P06180154,pB1588,4,0.5,3,Sean and PS,,,,,,,,,
P06180155,P06180156,P06180157,P06180158,pB1455,3.5,1,3.5,Sean and PS,,,,,,,,,
P06180159,P06180160,P06180161,P06180162,pB1589,4,1,3.5,Sean and PS,,,,,,,,,
P06180163,P06180164,P06180165,P06180166,pB1592,3.5,0.5,3,Sean and PS,,,,,,,,,
P06180167,P06180168,P06180170,P06180171,pB1579,4,1,3.5,Sean and PS,,,,,,,,,
P06180172,P06180173,P06180174,P06180175,pB1602,3.5,1,3.5,Sean and PS,,,,,,,,,
P06180176,P06180177,P06180178,P06180179,pB1464,4,1,3,Sean and PS,,,,,,,,,
P06180180,P06180181,P06180182,P06180183,pB1428,3,1,3,Sean and PS,,,,,,,,,
P06180184,P06180185,P06180186,P06180187,pB1608,4.5,0.5,3,Sean and PS,,,,,,,,,
P06180188,P06180189,P06180190,P06180191,pB1591,4,1,3.5,Sean and PS,,,,,,,,,
P06180192,P06180193,P06180194,P06180195,pB1580,3,1,2.5,Sean and PS,damaged,,,,,,,,
P06180196,P06180197,P06180198,P06180199,pB1482,4,1,3.5,Sean and PS,,,,,,,,,
P06180200,P06180201,P06180202,P06180203,pB1268,4,0.5,3.5,Sean and PS,,,,,,,,,
P06180204,P06180205,P06180206,P06180207,pB1491,4,1,3.5,Sean and PS,,,,,,,,,
P06180208,P06180209,P06180210,P06180211,pB1472,3,1,3,Sean and PS,,,,,,,,,
P06180212,P06180213,P06180214,P06180215,pB1595,3,1,3,Sean and PS,,,,,,,,,
P06180216,P06180217,P06180218,P06180219,pB1484,4.5,1,3.5,Sean and PS,,,,,,,,,
P06180220,P06180221,P06180222,P06180223,pB1473,4,0.5,3.5,Sean and PS,,,,,,,,,
na,na,na,na,pB0093,4,1,3.5,Sean,"Flower very old, be cautious about scores",,,,,,,,
P06190224,P06190225,P06190226,P06190227,pB1664,0.5,2.5,2.5,Sean and PS,,,,,,,,,
P06190228,P06190229,P06190230,P06190231,pB1675,0.5,2.5,3,Sean and PS,,,,,,,,,
P06190232,P06190233,P06190234,P06190235,pB1721,0.5,2.5,1,Sean and PS,,,,,,,,,
P06190236,P06190237,P06190238,P06190239,pB1678,1.5,3,3,Sean and PS,,,,,,,,,
P06190240,P06190241,P06190242,P06190243,pB1670,0.5,2.5,4,Sean and PS,,,,,,,,,
P06190244,P06190245,P06190246,P06190247,pB1728,0.5,3,1.5,Sean and PS,,,,,,,,,
P06190248,P06190249,P06190250,P06190251,pB1667,2,1,3.5,Sean and PS,,,,,,,,,
P06190252,P06190253,P06190254,P06190255,pB1671,0.5,3,2.5,Sean and PS,,,,,,,,,
P06190256,P06190257,P06190258,P06190259,pB1669,0.5,3,1,Sean and PS,,,,,,,,,
P06190260,P06190261,P06190262,P06190263,pB1676,1,2.5,3.5,Sean and PS,,,,,,,,,
P06190264,P06190265,P06190266,P06190267,pB1768,0.5,2.5,1,Sean and PS,,,,,,,,,
P06190268,P06190269,P06190270,P06190271,pB1662,0.5,2.5,2.5,Sean and PS,,,,,,,,,
P06190272,P06190273,P06190274,P06190275,pB1663,1.5,2.5,1,Sean and PS,,,,,,,,,
P06190276,P06190277,P06190278,P06190279,pB1743,0.5,3,1,Sean and PS,,,,,,,,,
P06190280,P06190281,P06190282,P06190283,pB1736,0.5,3,1.5,Sean and PS,,,,,,,,,
P06190284,P06190285,P06190286,P06190287,pB1637,0.5,2.5,1.5,Sean and PS,,,,,,,,,
P06190288,P06190289,P06190290,P06190291,pB1750,0.5,2.5,1,Sean and PS,,,,,,,,,
P06190292,P06190293,P06190294,P06190295,pB1668,0.5,2.5,1,Sean and PS,,,,,,,,,
P06190296,P06190297,P06190298,P06190299,pB1744,0.5,2.5,1,Sean and PS,,,,,,,,,
P06190300,P06190301,P06190302,P06190303,pB1700,0.5,2.5,2.5,Sean and PS,,,,,,,,,
P06190304,P06190305,P06190306,P06190307,pB1613,0.5,3,1,Sean and PS,,,,,,,,,
P06190308,P06190309,P06190310,P06190311,pB1780,0.5,2.5,4,Sean and PS,,,,,,,,,
P06190312,P06190313,P06190314,P06190315,pB1518,0.5,3,1,Sean and PS,,,,,,,,,
P06190316,P06190317,P06190318,P06190319,pB1738,0.5,3,1,Sean and PS,,,,,,,,,
P06190320,P06190321,P06190322,P06190323,pB1723,0.5,2.5,3,Sean and PS,,,,,,,,,
P06190324,P06190325,P06190326,P06190327,pB1673,1,2.5,3,Sean and PS,,,,,,,,,
P06190328,P06190329,P06190330,P06190331,pB1665,0.5,2.5,1,Sean and PS,,,,,,,,,
P06190332,P06190333,P06190334,P06190335,pB1741,0.5,2.5,2,Sean and PS,,,,,,,,,
P06190336,P06190337,P06190338,P06190339,pB1731,1.5,2.5,1.5,Sean and PS,,,,,,,,,
P06190340,P06190341,P06190342,P06190343,pB1763,0.5,3,1.5,Sean and PS,,,,,,,,,
P06190344,P06190345,P06190346,P06190347,pB1674,0.5,3,1.5,Sean and PS,,,,,,,,,
P06190348,P06190349,P06190350,P06190351,pB1740,0.5,2.5,2.5,Sean and PS,,,,,,,,,
P06190352,P06190353,P06190354,P06190355,pB1679,2.5,2.5,2,Sean and PS,,,,,,,,,
P06190356,P06190357,P06190358,P06190359,pB1734,0.5,2,1.5,Sean and PS,,,,,,,,,
P06190360,P06190361,P06190362,P06190363,pB1766,0.5,2.5,1.5,Sean and PS,,,,,,,,,
P06190364,P06190365,P06190366,P06190367,pB1745,0.5,3,1,Sean and PS,,,,,,,,,
P06190368,P06190369,P06190370,P06190371,pB1514,0.5,2.5,2.5,Sean and PS,,,,,,,,,
P06190372,P06190373,P06190374,P06190375,pB1612,0.5,2.5,1,Sean and PS,,,,,,,,,
P06190376,P06190377,P06190378,P06190379,pB1770,0.5,2.5,2,Sean and PS,,,,,,,,,
P06190380,P06190381,P06190382,P06190383,pB1733,1,2.5,na,Sean and PS,,,,,,,,,
P06190384,P06190385,P06190386,P06190387,pB1761,0.5,2.5,2,Sean and PS,,,,,,,,,
P06190388,P06190389,P06190390,P06190391,pB1594,0.5,3,1,Sean and PS,,,,,,,,,
P06190392,P06190393,P06190394,P06190395,pB1757,0.5,3,3.5,Sean and PS,,,,,,,,,
P06190396,P06190397,P06190398,P06190399,pB1778,0.5,2.5,1.5,Sean and PS,,,,,,,,,
P06190400,P06190401,P06190402,P06190403,pB1748,0.5,2.5,1,Sean and PS,,,,,,,,,
P06190404,P06190405,P06190406,P06190407,pB1758,0.5,2.5,na,Sean and PS,damaged,,,,,,,,
P06190408,P06190409,P06190410,P06190411,pB1677,0.5,2.5,3,Sean and PS,,,,,,,,,
P06190412,P06190413,P06190414,P06190415,pB1787,0.5,2.5,1.5,Sean and PS,,,,,,,,,
P06190416,P06190417,P06190418,P06190419,pB1715,0.5,3,1.5,Sean and PS,,,,,,,,,
P06190420,P06190421,P06190422,P06190423,pB1779,0.5,2.5,1,Sean and PS,,,,,,,,,
P06190424,P06190425,P06190426,P06190427,pB1759,0.5,2.5,2.5,Sean and PS,,,,,,,,,
P06190428,P06190429,P06190430,P06190431,pB1771,0.5,3,1,Sean and PS,,,,,,,,,
P06190432,P06190433,P06190434,P06190435,pB1727,0.5,2.5,1,Sean and PS,,,,,,,,,
P06190436,P06190437,P06190438,P06190439,pB1568,0.5,2.5,2,Sean and PS,,,,,,,,,
P06190440,P06190441,P06190442,P06190443,pB1661,0.5,3,1,Sean and PS,,,,,,,,,
P06190444,P06190445,P06190446,P06190447,pB1755,0.5,2.5,2.5,Sean and PS,,,,,,,,,
P06190448,P06190449,P06190450,P06190451,pB1726,0.5,3,1.5,Sean and PS,,,,,,,,,
P06190452,P06190453,P06190454,P06190455,pB1725,0.5,2.5,1.5,Sean and PS,,,,,,,,,
P06190456,P06190457,P06190458,P06190459,pB1722,1,3,1.5,Sean and PS,damaged,,,,,,,,
P06190460,P06190461,P06190462,P06190463,pB1747,0.5,2.5,2.5,Sean and PS,,,,,,,,,
P06190464,P06190465,P06190466,P06190467,pB1625,0.5,2.5,1.5,Sean and PS,,,,,,,,,
P06190468,P06190469,P06190470,P06190471,pB1751,0.5,2.5,1,Sean and PS,,,,,,,,,
P06190472,P06190473,P06190474,P06190475,pB1752,0.5,3,1,Sean and PS,,,,,,,,,
P06190476,P06190477,P06190478,P06190479,pB1688,0.5,2.5,1.5,Sean and PS,,,,,,,,,
P06190480,P06190481,P06190482,P06190483,pB1634,0.5,2.5,1.5,Sean and PS,,,,,,,,,
P06190484,P06190485,P06190486,P06190487,pB1749,0.5,2.5,1,Sean and PS,,,,,,,,,
P06190488,P06190489,P06190490,P06190491,pB1753,0.5,2.5,1,Sean and PS,,,,,,,,,
P06190492,P06190493,P06190494,P06190495,pB1777,0.5,2.5,2.5,Sean and PS,,,,,,,,,
P06190496,P06190497,P06190498,P06190499,pB1631,2,2.5,2.5,Sean and PS,,,,,,,,,
P06190500,P06190501,P06190502,P06190503,pB1666,1,2.5,2.5,Sean and PS,,,,,,,,,
P06190504,P06190505,P06190506,P06190507,pB1774,0.5,3,1,Sean and PS,,,,,,,,,
P06190508,P06190509,P06190510,P06190511,pB1773,0.5,3,2.5,Sean and PS,,,,,,,,,
P06190512,P06190513,P06190514,P06190515,pB1742,0.5,2.5,2.5,Sean and PS,,,,,,,,,
P06190516,P06190517,P06190518,P06190519,pB1735,1,2.5,2,Sean and PS,,,,,,,,,
P06190520,P06190521,P06190522,P06190523,pB1672,2,2.5,3.5,Sean and PS,,,,,,,,,
P06190524,P06190525,P06190526,P06190527,pB1737,0.5,3,3,Sean and PS,,,,,,,,,
P06190528,P06190529,P06190530,P06190531,pB1760,0.5,2.5,1.5,Sean and PS,,,,,,,,,
P06190532,P06190533,P06190534,P06190535,pB1756,0.5,3,na,Sean and PS,,,,,,,,,
P06190536,P06190537,P06190538,P06190539,pB1729,1,2.5,2,Sean and PS,,,,,,,,,
P06190540,P06190541,P06190542,P06190543,pB1754,1.5,3,3.5,Sean and PS,,,,,,,,,
P06190544,P06190545,P06190546,P06190547,pB1724,0.5,2.5,1,Sean and PS,,,,,,,,,
P06190548,P06190549,P06190550,P06190551,pB1732,0.5,2.5,2,Sean and PS,,,,,,,,,
P06190552,P06190553,P06190554,P06190555,pB1463,4,0.5,3.5,Sean and PS,,,,,,,,,
P06190556,P06190557,P06190558,P06190559,pB1619,0.5,3,1,Sean and PS,,,,,,,,,
P06190560,P06190561,P06190562,P06190563,pB1606,3,1,3.5,Sean and PS,,,,,,,,,
P06190564,P06190565,P06190566,P06190567,pB1654,0.5,3,3,Sean and PS,,,,,,,,,
P06190568,P06190569,P06190570,P06190571,pB1456,4,1,3,Sean and PS,,,,,,,,,
