Face,Side,Under,Top,Plant No,Red,Yellow,Venation,Scorer,Comments,,,,,,,,
P06036231,P06036232,P06036233,P06036234,pA2478,4,2.5,3.5,"Sean, Helena, PS",,,,,,,,,
P06036235,P06036236,P06036237,P06036238,pB0179,2,0.5,1,"Sean, Helena, PS",,,,,,,,,
P06036239,P06036240,P06036241,P06036242,pA2520,0.5,2.5,2.5,"Sean, Helena, PS",,,,,,,,,
P06036243,P06036244,P06036245,P06036246,pB0012,2,2,3.5,"Sean, Helena, PS",,,,,,,,,
P06036247,P06036248,P06036249,P06036250,pB0137,4,0.5,3.5,"Sean, Helena, PS",,,,,,,,,
P06036251,P06036252,P06036253,P06036254,pB0147,1.5,1,2.5,"Sean, Helena, PS",,,,,,,,,
P06036255,P06036256,P06036257,P06036258,pB0056,1,2,2,"Sean, Helena, PS",,,,,,,,,
P06036259,P06036260,P06036261,P06036262,pA1858,4,1,3,"Sean, Helena, PS",,,,,,,,,
P06036263,P06036264,P06036265,P06036266,pB0058,4.5,1,3.5,"Sean, Helena, PS",,,,,,,,,
P06036267,P06036268,P06036269,P06036270,pB0194,4,0.5,3.5,"Sean, Helena, PS",,,,,,,,,
P06036271,P06036272,P06036273,P06036274,pB0105,4,2.5,3,"Sean, Helena, PS",,,,,,,,,
P06036275,P06036276,P06036277,P06036278,pB0178,0.5,1.5,2,"Sean, Helena, PS",,,,,,,,,
P06036279,P06036280,P06036281,P06036282,pB0778,0.5,2.5,1,"Sean, Helena, PS",,,,,,,,,
P06036283,P06036284,P06036285,P06036286,pB0131,2.5,1.5,3.5,"Sean, Helena, PS",,,,,,,,,
P06036287,P06036288,P06036289,P06036290,pB0208,3.5,1,3.5,"Sean, Helena, PS",,,,,,,,,
P06036291,P06036292,P06036293,P06036294,pB0136,1,2.5,3,"Sean, Helena, PS",damaged,,,,,,,,
P06036295,P06036296,P06036297,P06036298,pB0096,4,2.5,3,"Sean, Helena, PS",,,,,,,,,
P06036299,P06036300,P06036301,P06036302,pB0195,0.5,2.5,1,"Sean, Helena, PS",,,,,,,,,
P06046303,p06046304,P06046305,P06046306,pB0803,4.5,1,4,Helena and PS,,,,,,,,,
P06046307,P06046308,P06046309,P06046310,pB0894,3.5,0.5,3.5,Helena and PS,,,,,,,,,
P06046311,p06046312,P06046313,P06046314,pB0824,4,1,3,Helena and PS,,,,,,,,,
P06046315,p06046316,P06046317,P06046318,pB0830,4.5,1,3.5,Helena and PS,,,,,,,,,
P06046319,p06046320,P06046321,P06046322,pB0815,4.5,1,3,Helena and PS,,,,,,,,,
P06046323,p06046324,P06046325,P06046326,pB0869,3.5,1,4,Helena and PS,,,,,,,,,
P06046327,p06046328,P06046329,P06046330,pB0808,4,1,3.5,Helena and PS,,,,,,,,,
P06046331,p06046332,P06046333,P06046334,pB0881,4,0.5,3,Helena and PS,,,,,,,,,
P06046335,p06046336,P06046337,P06046338,pB0804,3.5,1,3,Helena and PS,,,,,,,,,
P06046339,p06046340,P06046341,P06046342,pB0820,4,0.5,3.5,Helena and PS,,,,,,,,,
P06046343,p06046344,P06046345,P06046346,pB0868,3.5,1,3.5,Helena and PS,,,,,,,,,
