pc,Side,Under,Top,Plant No,Red,Yellow,Venation,Scorer,Comments,,,,,,,,,,,,,,,,
P06064752,P06064753,P06064754,P06064755,pC0808,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06064756,P06064757,P06064758,P06064759,pC0852,0.5,3,0.5,Parvathy,,,,,,,,,,,,,,,,,
P06064760,P06064761,P06064762,P06064763,pC0864,1,2.5,1.5,Parvathy,,,,,,,,,,,,,,,,,
P06064764,P06064765,P06064766,P06064767,pC0879,0.5,2.5,3,Parvathy,,,,,,,,,,,,,,,,,
P06064768,P06064769,P06064770,P06064771,pC0894,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06064772,P06064773,P06064774,P06064775,pC0896,0.5,3,3,Parvathy,,,,,,,,,,,,,,,,,
P06064777,P06064778,P06064779,P06064780,pC0897,0.5,2.5,3.5,Parvathy,,,,,,,,,,,,,,,,,
P06064781,P06064782,P06064783,P06064784,pC0874,0.5,3,1,Parvathy,damaged,,,,,,,,,,,,,,,,
P06064785,P06064786,P06064787,P06064788,pC0780,0.5,3,2.5,Parvathy,,,,,,,,,,,,,,,,,
P06064789,P06064790,P06064791,P06064792,pC0809,1.5,2.5,1.5,Parvathy,,,,,,,,,,,,,,,,,
P06064793,P06064794,P06064795,P06064796,pC0869,0.5,3,1.5,Parvathy,,,,,,,,,,,,,,,,,
P06064797,P06064798,P06064799,P06064800,pC0899,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06064801,P06064802,P06064803,P06064804,pC0868,0.5,2.5,2.5,Parvathy,,,,,,,,,,,,,,,,,
P06064805,P06064806,P06064807,P06064808,pC0824,1,2.5,2,Parvathy,,,,,,,,,,,,,,,,,
P06064809,P06064810,P06064811,P06064812,pC0777,1.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06064813,P06064814,P06064815,P06064816,pC0803,0.5,2.5,3,Parvathy,,,,,,,,,,,,,,,,,
P06064817,P06064818,P06064819,P06064820,pC0790,1,2.5,3.5,Parvathy,,,,,,,,,,,,,,,,,
P06064821,P06064822,P06064823,P06064824,pC0886,0.5,2.5,3,Parvathy,,,,,,,,,,,,,,,,,
P06064825,P06064826,P06064827,P06064828,pC0890,2,2.5,3.5,Parvathy,,,,,,,,,,,,,,,,,
P06064829,P06064830,P06064831,P06064832,pC0870,2,1.5,1.5,Parvathy,,,,,,,,,,,,,,,,,
P06064833,P06064834,P06064835,P06064836,pC0888,0.5,3,1,Parvathy,damaged,,,,,,,,,,,,,,,,
P06064838,P06064839,P06064840,P06064841,pC0776,0.5,NA,NA,Parvathy,damaged,,,,,,,,,,,,,,,,
P06064843,P06064844,P06064845,P06064846,pC0899,1.5,2.5,3.5,Parvathy,,,,,,,,,,,,,,,,,
P06064847,P06064848,P06064849,P06064850,pC0854,1.5,1,2.5,Parvathy,,,,,,,,,,,,,,,,,
P06064851,P06064852,P06064853,P06064854,pC0859,0.5,2.5,0.5,Parvathy,,,,,,,,,,,,,,,,,
P06064855,P06064856,P06064857,P06064858,pC0807,0.5,2.5,1,Parvathy,old,,,,,,,,,,,,,,,,
P06064859,P06064860,P06064861,P06064862,pC0788,0.5,3,0.5,Parvathy,damaged,,,,,,,,,,,,,,,,
P06064863,P06064864,P06064865,P06064866,pC0898,1,2.5,1.5,Parvathy,old,,,,,,,,,,,,,,,,
P06064867,P06064868,P06064869,P06064870,pC0882,1,3,3,Parvathy,,,,,,,,,,,,,,,,,
P06064871,P06064872,P06064873,P06064874,pC0884,0.5,2.5,3,Parvathy,,,,,,,,,,,,,,,,,
P06064875,P06064876,P06064877,P06064878,pC0877,0.5,3,1,Parvathy,,,,,,,,,,,,,,,,,
P06064879,P06064880,P06064881,P06064882,pC0948,0.5,3,1,Parvathy,,,,,,,,,,,,,,,,,
P06064883,P06064884,P06064885,P06064886,pC0993,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06064887,P06064888,P06064889,P06064890,pC0857,1.5,2.5,2.5,Parvathy,old,,,,,,,,,,,,,,,,
P06064891,P06064892,P06064893,P06064894,pC0996,1,3,1,Parvathy,,,,,,,,,,,,,,,,,
P06064895,P06064896,P06064897,P06064898,pC0867,0.5,2.5,3.5,Parvathy,,,,,,,,,,,,,,,,,
P06064899,P06064900,P06064901,P06064902,pC0915,0.5,2.5,1.5,Parvathy,,,,,,,,,,,,,,,,,
P06064903,P06064904,P06064905,P06064906,pC1009,1,2.5,3,Parvathy,,,,,,,,,,,,,,,,,
P06064907,P06064908,P06064909,P06064910,pC0902,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06064911,P06064912,P06064913,P06064914,pC0861,0.5,3,2.5,Parvathy,,,,,,,,,,,,,,,,,
P06064915,P06064916,P06064917,P06064918,pC0901,0.5,3,3,Parvathy,,,,,,,,,,,,,,,,,
P06064919,P06064920,P06064921,P06064922,pC0984,1,2.5,2,Parvathy,,,,,,,,,,,,,,,,,
P06064923,P06064924,P06064925,P06064926,pC0919,0.5,2.5,2,Parvathy,,,,,,,,,,,,,,,,,
P06064927,P06064928,P06064929,P06064930,pC0949,1,2.5,3.5,Parvathy,,,,,,,,,,,,,,,,,
P06064931,P06064932,P06064933,P06064934,pC0922,0.5,3,2.5,Parvathy,,,,,,,,,,,,,,,,,
P06064935,P06064936,P06064937,P06064938,pC0871,0.5,3,1.5,Parvathy,,,,,,,,,,,,,,,,,
P06064939,P06064940,P06064941,P06064942,pC0981,0.5,2.5,1,Parvathy,damaged,,,,,,,,,,,,,,,,
P06064943,P06064944,P06064945,P06064946,pC0856,0.5,2.5,2.5,Parvathy,,,,,,,,,,,,,,,,,
P06064947,P06064948,P06064949,P06064950,pC0992,1.5,2.5,2,Parvathy,,,,,,,,,,,,,,,,,
P06064951,P06064952,P06064953,P06064954,pC0977,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06064955,P06064956,P06064957,P06064958,pC0853,0.5,3,2.5,Parvathy,,,,,,,,,,,,,,,,,
P06064959,P06064960,P06064961,P06064962,pC1012,1.5,2.5,2.5,Parvathy,,,,,,,,,,,,,,,,,
P06064963,P06064964,P06064965,P06064966,pC0918,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06064967,P06064968,P06064969,P06064970,pC0920,0.5,3,3.5,Parvathy,,,,,,,,,,,,,,,,,
P06064971,P06064972,P06064973,P06064974,pC0910,0.5,2.5,3,Parvathy,,,,,,,,,,,,,,,,,
P06064975,P06064976,P06064977,P06064978,pC0863,0.5,3,1,Parvathy,,,,,,,,,,,,,,,,,
P06064979,P06064980,P06064981,P06064982,pC0982,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06064983,P06064984,P06064985,P06064986,pC0997,1,3,1,Parvathy,,,,,,,,,,,,,,,,,
P06064987,P06064988,P06064989,P06064990,pC0979,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06064991,P06064992,P06064993,P06064994,pC0991,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06064995,P06064996,P06064997,P06064998,pC0921,1,2.5,1.5,Parvathy,damaged,,,,,,,,,,,,,,,,
P06064999,P06065000,P06065001,P06065002,pC0851,0.5,2.5,3,Parvathy,,,,,,,,,,,,,,,,,
P06065003,P06065004,P06065005,P06065006,pC0987,0.5,2.5,1.5,Parvathy,old,,,,,,,,,,,,,,,,
P06065007,P06065008,P06065009,P06065010,pC0905,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06065011,P06065012,P06065013,P06065014,pC0903,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06065015,P06065016,P06065017,P06065018,pC1010,0.5,3,1,Parvathy,,,,,,,,,,,,,,,,,
P06065019,P06065020,P06065021,P06065022,pC0924,0.5,3,1,Parvathy,old and damaged,,,,,,,,,,,,,,,,
P06065023,P06065024,P06065025,P06065026,pC0994,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06065027,P06065028,P06065029,P06065030,pC0925,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06065031,P06065032,P06065033,P06065034,pC1004,0.5,2.5,3.5,Parvathy,,,,,,,,,,,,,,,,,
P06065035,P06065036,P06065037,P06065050,pC0998,1,3,3,Parvathy,old,,,,,,,,,,,,,,,,
P06065038,P06065039,P06065040,P06065041,pC0916,0.5,3,1,Parvathy,,,,,,,,,,,,,,,,,
P06065042,P06065043,P06065044,P06065045,pC0988,1.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06065046,P06065047,P06065048,P06065049,pC0917,0.5,3,1,Parvathy,,,,,,,,,,,,,,,,,
P06065051,P06065052,P06065053,P06065054,pC0976,0.5,3,1,Parvathy,,,,,,,,,,,,,,,,,
P06065055,P06065056,P06065057,P06065058,pC0937,0.5,2.5,1,Parvathy,,,,,,,,,,,,,,,,,
P06065059,P06065060,P06065061,P06065062,pC0862,0.5,2.5,2.5,Parvathy,old,,,,,,,,,,,,,,,,
P06065063,P06065064,P06065065,P06065066,pC0999,1,2.5,3.5,Parvathy,,,,,,,,,,,,,,,,,
P06065067,P06065068,P06065069,P06065070,pC0986,0.5,2.5,2,Parvathy,,,,,,,,,,,,,,,,,
P06065071,P06065072,P06065073,P06065074,pC0865,1.5,2.5,1.5,Parvathy,,,,,,,,,,,,,,,,,
P06065075,P06065076,P06065077,P06065078,pC0725,0.5,3,1.5,Parvathy,,,,,,,,,,,,,,,,,
P06075079,P06075080,P06075081,P06075082,pC0929,1,3,3,Tetiana,,,,,,,,,,,,,,,,,
P06075083,P06075084,P06075085,P06075086,pC0945,1.5,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06075087,P06075088,P06075089,P06075090,pC0969,0.5,2.5,2,Tetiana,,,,,,,,,,,,,,,,,
P06075091,P06075092,P06075093,P06075094,pC0940,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075095,P06075096,P06075097,P06075098,pC0983,0.5,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075099,P06075100,P06075101,P06075102,pC0950,0.5,2.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06075103,P06075104,P06075105,P06075106,pC0943,1,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06075107,P06075108,P06075109,P06075110,pC0955,1,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075111,P06075112,P06075113,P06075114,pC0908,0.5,3,1,Tetiana,,,,,,,,,,,,,,,,,
P06075115,P06075116,P06075117,P06075118,pC0904,1,2.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06075119,P06075120,P06075121,P06075122,pC0990,1,3,2,Tetiana,,,,,,,,,,,,,,,,,
P06075123,P06075124,P06075125,P06075126,pC0939,0.5,3,1,Tetiana,,,,,,,,,,,,,,,,,
P06075127,P06075128,P06075129,P06075130,pC0941,1,2.5,2,Tetiana,,,,,,,,,,,,,,,,,
P06075131,P06075132,P06075133,P06075134,pC0944,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075135,P06075136,P06075137,P06075138,pC0930,1,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06075139,P06075140,P06075141,P06075142,pC0942,0.5,2.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06075143,P06075144,P06075145,P06075146,pC0932,0.5,2.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06075147,P06075148,P06075149,P06075150,pC0946,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075151,P06075152,P06075153,P06075154,pC0957,0.5,2.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06075155,P06075156,P06075157,P06075158,pC0995,0.5,2.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06075159,P06075162,P06075163,P06075164,pC0928,0.5,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075165,P06075166,P06075167,P06075168,pC0936,0.5,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075169,P06075170,P06075171,P06075172,pC0989,1,2.5,3,Tetiana,"damged wher pAtels meet, constriction is a bit ?",,,,,,,,,,,,,,,,
P06075173,P06075174,P06075175,P06075176,pC0931,1,3,1,Tetiana,,,,,,,,,,,,,,,,,
P06075177,P06075178,P06075179,P06075180,pC0933,1,3,2,Tetiana,,,,,,,,,,,,,,,,,
P06075181,P06075182,P06075183,P06075184,pC0926,0.5,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075185,P06075186,P06075187,P06075188,pC0958,1,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075189,P06075190,P06075191,P06075192,pC0911,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075193,P06075194,P06075195,P06075196,pC0964,0.5,2.5,0.5,Tetiana,,,,,,,,,,,,,,,,,
P06075197,P06075198,P06075199,P06075200,pC0978,0.5,1.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06075201,P06075202,P06075203,P06075204,pC0968,0.5,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075205,P06075206,P06075207,P06075208,pC0954,1,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075209,P06075210,P06075211,P06075212,pC0965,0.5,2.5,1.5,Tetiana,"damaged where pAtels meet, constriction by 1 petal",,,,,,,,,,,,,,,,
P06075213,P06075214,P06075215,P06075216,pC0967,1,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075217,P06075218,P06075219,P06075220,pC0923,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075221,P06075222,P06075223,P06075224,pC0938,0.5,3,1,Tetiana,,,,,,,,,,,,,,,,,
P06075225,P06075226,P06075227,P06075228,pC1000,0.5,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075229,P06075230,P06075231,P06075232,pC0962,0.5,3,3,Tetiana,,,,,,,,,,,,,,,,,
P06075233,P06075234,P06075235,P06075236,pC0909,1,3,1,Tetiana,,,,,,,,,,,,,,,,,
P06075237,P06075238,P06075239,P06075240,pC0906,0.5,2.5,2.5,Tetiana,"damaged where pAtels meet, constriction by 1 petal",,,,,,,,,,,,,,,,
P06075241,P06075242,P06075243,P06075244,pC0970,1,3,3,Tetiana,,,,,,,,,,,,,,,,,
P06075245,P06075246,P06075247,P06075248,pC0912,1,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075249,P06075250,P06075251,P06075252,pC0985,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075253,P06075254,P06075255,P06075256,pC0974,0.5,2.5,1.5,Tetiana,,,,,,,,,,,,,,,,,
P06075257,P06075258,P06075259,P06075260,pC0935,1,3,2,Tetiana,,,,,,,,,,,,,,,,,
P06075261,P06075262,P06075263,P06075264,pC0913,0.5,3,1,Tetiana,,,,,,,,,,,,,,,,,
P06075265,P06075266,P06075267,P06075268,pC0934,0.5,2.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06075269,P06075270,P06075271,P06075272,pC0980,1,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075273,P06075274,P06075275,P06075276,pC0914,1.5,2.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06075281,P06075282,P06075283,P06075284,pC0947,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075285,P06075286,P06075287,P06075288,pC0907,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075289,P06075290,P06075291,P06075292,pC0963,0.5,3,1,Tetiana,,,,,,,,,,,,,,,,,
P06075293,P06075294,P06075295,P06075296,pC0959,0.5,3,3,Tetiana,,,,,,,,,,,,,,,,,
P06075297,P06075298,P06075299,P06075300,pC0972,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075301,P06075302,P06075303,P06075304,pC1093,0.5,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075305,P06075306,P06075307,P06075308,pC1086,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075309,P06075310,P06075311,P06075312,pC1099,1,3,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06075313,P06075314,P06075315,P06075316,pC0961,1,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075317,P06075318,P06075319,P06075320,pC1076,1.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075321,P06075322,P06075323,P06075324,pC0952,0.5,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075325,P06075326,P06075327,P06075328,pC0956,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075329,P06075330,P06075331,P06075332,pC1090,0.5,3,0.5,Tetiana,,,,,,,,,,,,,,,,,
P06075333,P06075334,P06075335,P06075336,pC0966,1,2.5,2,Tetiana,,,,,,,,,,,,,,,,,
P06075337,P06075338,P06075339,P06075340,pC0951,1,2.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06075341,P06075342,P06075343,P06075344,pC1095,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075345,P06075346,P06075347,P06075348,pC1078,0.5,2.5,1.5,Tetiana,,,,,,,,,,,,,,,,,
P06075349,P06075350,P06075351,P06075352,pC1080,0.5,3,2,Tetiana,,,,,,,,,,,,,,,,,
P06075353,P06075354,P06075355,P06075356,pC1091,0.5,3,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06075357,P06075358,P06075359,P06075360,pC1088,0.5,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06075361,P06075362,P06075363,P06075364,pC1089,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075365,P06075366,P06075367,P06075368,pC1094,0.5,2.5,1.5,Tetiana,,,,,,,,,,,,,,,,,
P06075369,P06075370,P06075371,P06075372,pC1019,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075373,P06075374,P06075375,P06075376,pC1077,0.5,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075377,P06075378,P06075379,P06075380,pC1097,0.5,1,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075381,P06075382,P06075383,P06075384,pC1087,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075385,P06075386,P06075387,P06075388,pC1079,0.5,3,1,Tetiana,,,,,,,,,,,,,,,,,
P06075389,P06075390,P06075391,P06075392,pC0953,1,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075393,P06075394,P06075395,P06075396,pC1096,1,2.5,1.5,Tetiana,,,,,,,,,,,,,,,,,
P06075397,P06075398,P06075399,P06075400,pC1085,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075401,P06075402,P06075403,P06075404,pC0973,0.5,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075405,P06075406,P06075407,P06075408,pC1100,1.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075409,P06075410,P06075411,P06075412,pC1098,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075413,P06075414,P06075415,P06075416,pC1023,1.5,2.5,4,Tetiana,,,,,,,,,,,,,,,,,
P06075417,P06075418,P06075419,P06075420,pC1016,1,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075421,P06075422,P06075423,P06075424,pC0975,0.5,3,1,Tetiana,,,,,,,,,,,,,,,,,
P06075425,P06075426,P06075427,P06075428,pC0960,0.5,1,1,Tetiana,,,,,,,,,,,,,,,,,
P06075429,P06075430,P06075431,P06075432,pC1014,1,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075433,P06075434,P06075435,P06075436,pC1021,1,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06075437,P06075438,P06075439,P06075440,pC1002,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075441,P06075442,P06075443,P06075444,pC1013,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075445,P06075446,P06075447,P06075448,pC1020,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075449,P06075450,P06075451,P06075452,pC1017,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06075453,P06075454,P06075455,P06075456,pC1083,0.5,2.5,2,Tetiana,,,,,,,,,,,,,,,,,
P06075457,P06075458,P06075459,P06075460,pC0971,0.5,3,1,Tetiana,,,,,,,,,,,,,,,,,
P06075461,P06075462,P06075463,P06075464,pC1008,0.5,2.5,1.5,Tetiana,,,,,,,,,,,,,,,,,
P06075465,P06075466,P06075467,P06075468,pC0927,0.5,2.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06085469,P06085470,P06085471,P06085472,pC1028,1.5,1.5,2,Tetiana,,,,,,,,,,,,,,,,,
P06085473,P06085474,P06085475,P06085476,pC1033,0.5,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085477,P06085478,P06085479,P06085480,pC1029,1,2.5,2,Tetiana,,,,,,,,,,,,,,,,,
P06085481,P06085482,P06085483,P06085484,pC1027,1,2.5,1.5,Tetiana,,,,,,,,,,,,,,,,,
P06085485,P06085486,P06085487,P06085488,pC1026,0.5,1.5,2,Tetiana,,,,,,,,,,,,,,,,,
P06085489,P06085490,P06085491,P06085492,pC1081,0.5,2.5,2.5,Tetiana,"dameged petals, veNAtion ?",,,,,,,,,,,,,,,,
P06085493,P06085494,P06085495,P06085496,pC1082,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085497,P06085498,P06085499,P06085500,pC1031,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085501,P06085502,P06085503,P06085504,pC1025,1.5,2.5,1.5,Tetiana,,,,,,,,,,,,,,,,,
P06085505,P06085506,P06085507,P06085508,pC1024,0.5,2.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06085509,P06085510,P06085511,P06085512,pC1062,1,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085513,P06085514,P06085515,P06085516,pC1074,1,2.5,2.5,Tetiana,"damaged, veNAtion by 1 petal",,,,,,,,,,,,,,,,
P06085517,P06085518,P06085519,P06085520,pC1084,1.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085521,P06085522,P06085523,P06085524,pC1073,1,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085525,P06085526,P06085527,P06085528,pC1037,NA,2.5,2.5,Tetiana,"damaged face, red might be 1,5",,,,,,,,,,,,,,,,
P06085529,P06085530,P06085531,P06085532,pC1075,0.5,3,3,Tetiana,,,,,,,,,,,,,,,,,
P06085533,P06085534,P06085535,P06085536,pC1030,0.5,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085537,P06085538,P06085539,P06085540,pC1032,0.5,2.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06085541,P06085542,P06085543,P06085544,pC1058,0.5,3,3,Tetiana,,,,,,,,,,,,,,,,,
P06085545,P06085546,P06085547,P06085548,pC1035,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085549,P06085550,P06085551,P06085552,pC1047,1.5,2,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085553,P06085554,P06085555,P06085556,pC1051,1,2.5,1.5,Tetiana,,,,,,,,,,,,,,,,,
P06085557,P06085558,P06085559,P06085560,pC1071,1,2.5,2,Tetiana,,,,,,,,,,,,,,,,,
P06085561,P06085562,P06085563,P06085564,pC1005,1.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085565,P06085566,P06085567,P06085568,pC1007,1,2.5,1.5,Tetiana,,,,,,,,,,,,,,,,,
P06085569,P06085570,P06085571,P06085572,pC1049,1,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085573,P06085574,P06085575,P06085576,pC1070,1.5,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06085577,P06085578,P06085579,P06085580,pC1015,0.5,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06085581,P06085582,P06085583,P06085584,pC1018,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085585,P06085586,P06085587,P06085588,pC1001,0.5,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06085589,P06085590,P06085591,P06085592,pC1003,0.5,2.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06085593,P06085594,P06085595,P06085596,pC1041,0.5,2,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085597,P06085598,P06085599,P06085600,pC1042,0.5,1.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06085601,P06085602,P06085603,P06085604,pC1036,1.5,1,1,Tetiana,,,,,,,,,,,,,,,,,
P06085605,P06085606,P06085607,P06085608,pC1022,0.5,3,1.5,Tetiana,,,,,,,,,,,,,,,,,
P06085609,P06085610,P06085611,P06085612,pC1006,0.5,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06085613,P06085614,P06085615,P06085616,pC1069,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085617,P06085618,P06085619,P06085620,pC1034,0.5,2.5,2,Tetiana,,,,,,,,,,,,,,,,,
P06085621,P06085622,P06085623,P06085624,pC1072,0.5,3,1,Tetiana,old,,,,,,,,,,,,,,,,
P06085625,P06085626,P06085627,P06085628,pC1046,1,1.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06085629,P06085630,P06085631,P06085632,pC1045,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085633,P06085634,P06085635,P06085636,pC1039,1,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085637,P06085638,P06085639,P06085640,pC1048,1,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085641,P06085642,P06085643,P06085644,pC1066,0.5,2.5,3,Tetiana,,,,,,,,,,,,,,,,,
P06085645,P06085646,P06085647,P06085648,pC1040,2,1,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085649,P06085650,P06085651,P06085652,pC1044,0.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085653,P06085654,P06085655,P06085656,pC1054,1,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085657,P06085658,P06085659,P06085660,pC1064,1,2.5,3.5,Tetiana,,,,,,,,,,,,,,,,,
P06085662,P06085663,P06085664,P06085665,pC1092,1,3,1.5,Tetiana,,,,,,,,,,,,,,,,,
P06085666,P06085667,P06085668,P06085669,pC1061,0.5,3,1,Tetiana,,,,,,,,,,,,,,,,,
P06085670,P06085671,P06085672,P06085673,pC1043,1,1.5,2,Tetiana,,,,,,,,,,,,,,,,,
P06085674,P06085675,P06085676,P06085677,pC1057,1,3,2,Tetiana,,,,,,,,,,,,,,,,,
P06085678,P06085679,P06085680,P06085681,pC1059,0.5,3,2,Tetiana,,,,,,,,,,,,,,,,,
P06085684,P06085685,P06085688,P06085689,pC1052,0.5,2.5,2,Tetiana,,,,,,,,,,,,,,,,,
P06085690,P06085691,P06085692,P06085693,pC1068,0.5,3,1,Tetiana,,,,,,,,,,,,,,,,,
P06085694,P06085695,P06085696,P06085697,pC1038,0.5,2.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06085698,P06085699,P06085700,P06085701,pC1065,1,2.5,1,Tetiana,,,,,,,,,,,,,,,,,
P06085702,P06085703,P06085704,P06085705,pC1060,1.5,3,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085706,P06085707,P06085708,P06085709,pC1055,1,2.5,1.5,Tetiana,,,,,,,,,,,,,,,,,
P06085710,P06085711,P06085712,P06085713,pC1011,1.5,2.5,2.5,Tetiana,,,,,,,,,,,,,,,,,
P06085714,P06085715,P06085716,P06085717,pC1056,1,2.5,1.5,Tetiana,,,,,,,,,,,,,,,,,
