,ID,x
292,pc0840,2.7
293,pc0827,1.27
294,pc0037,1.03
295,pc0035,0.8
296,pc0075,0.85
297,pa2485,0.43
298,pc0044,1.73
299,pc0006,0.0
300,pc0046,1.05
301,pc0042,0.6
302,pc0311,2.5
303,pb4841,0.9
304,pb0165, 
305,pc0034,1.3
306,pb0200,0.6
307,pc1924,0.52
308,pc0049,2.93
309,pc0039,0.3
310,pc0036,0.15
311,pc0047,0.5
312,z0464,1.05
313,pb0241,0.3
314,pc0262,2.55
315,pc0033,7.5
316,pb0219,0.0
317,pb3894,1.05
318,pc0016,0.1
319,pc0045,1.1
320,pc0325,0.53
321,pc0304,1.07
322,pc0320,0.6
323,pc0832,674.05
324,pb3346, 
325,pa2472,677.0
326,pa2468,9.8
327,pb0232,0.95
328,pc2509,18.66
329,pc0048,2.04
330,pc0026,0.15
331,pc0027,2.25
332,pc0031,0.35
333,pc0844,0.03
334,z0572,2.78
335,pc0014,4.4
336,pb4848,1.55
337,pa0350,0.15
338,pb4299,1.4
339,pa0341,1.4
340,pc0012,0.65
341,pc0251,0.9
342,pc0009,2.7
343,pc0023,15.6
344,pc0024,8.25
345,pb0217,5.0
346,pc0300,13.5
347,pc1910,7.85
348,pb0772,7.05
349,pb4330, 
350,pc0025,1.6
351,pc0007,0.5
352,pb0211,0.9
353,pc0015,0.5
354,pc0297,8.0
355,pc0005,11.7
356,pb0216,10.6
357,pb0413,12.5
358,pc0284,7.74
359,pc0020,2.36
360,pc0002,25.2
361,pc0004,3.7
362,pb0230,0.5
363,pc0022,6.7
364,pb0225,12.3
365,pb0224,0.4
366,pc0013,1.05
367,pb0279,0.95
368,pc2506,0.0
369,pc0019,11.6
370,pc2522,0.22
371,pc0003,1.52
372,pc0271,231.8
373,pb0432,17.3
374,pc0258,0.0
375,pc0235,0.4
376,pb0441,3.1
377,pb0435,0.0
378,pb0416,0.3
379,pb0453,0.3
380,pc0272,0.6
381,pc0839,0.8
382,pb0403,6.3
383,pb4298,0.6
384,pc0237,3.9
385,pb0459,15.65
386,pb0445,0.25
387,pc0257,0.0
388,pb0424,0.0
389,pc0229,1.49
390,pb2865,1.21
391,pb0427,3.9
392,pb0405,2.92
393,pb0408,7.22
394,pc0312,10.37
395,pc0275,3.7
396,pb3836,0.13
397,pb0392,1.79
398,pc0265,0.3
399,pc0303,3.0
400,pc0259,0.69
401,pc0255,22.98
402,pc1916,1.69
403,pc0267,1.0
404,pc0256,2.67
405,pc0264,2.74
406,pc0263,1.0
407,pb4568,0.3
408,pc2517,0.37
409,pc2773,0.32
410,pb4716,130.51
411,pc0826,15.29
412,pb2052,2.59
413,pb0458,3.7
414,pc0285,568.85
415,pb1821,568.35
416,pb0410,13.4
417,pb0539,1.0
418,pb0526,1.1
419,pc2502,9.8
420,pb1827,239.9
421,pb1834,21.6
422,pb3408,166.5
423,pc0843,0.3
424,pc0280,0.3
425,pc0299,1.2
426,pc0278,0.5
427,pb0464,175.29
428,pc0835,12.81
429,pc0306,27.5
430,pc1911,1.35
431,pc0305,44.55
432,pc0308,2.9
433,pc0309,0.6
434,pc2757,0.0
435,pb0738,15.6
436,pb0451,1.8
437,pb0737,0.2
438,pc0276,3.25
439,pc0261,0.6
440,pc0289,35.4
441,pb4718,20.75
442,pc0287,1.15
443,pb4319,53.65
444,pc0314,7.0
445,pc0850,181.65
446,pc0298,27.65
447,, 
448,, 
449,, 
450,, 
451,, 
452,, 
453,, 
454,, 
455,, 
456,, 
457,, 
458,, 
459,, 
460,, 
461,, 
462,, 
463,, 
464,, 
465,, 
466,, 
467,, 
468,, 
469,, 
470,, 
471,, 
472,, 
473,, 
474,, 
475,, 
476,, 
477,, 
478,, 
479,, 
480,, 
481,, 
482,, 
483,, 
484,, 
485,, 
486,, 
487,, 
488,, 
489,, 
490,, 
491,, 
492,, 
493,, 
494,, 
495,, 
496,, 
497,, 
498,, 
499,, 
500,, 
501,, 
502,, 
503,, 
504,, 
505,, 
506,, 
507,, 
508,, 
509,, 
510,, 
511,, 
512,, 
513,, 
514,, 
515,, 
516,, 
517,, 
518,, 
519,, 
520,, 
521,, 
522,, 
523,, 
524,, 
525,, 
526,, 
527,, 
528,, 
529,, 
530,, 
531,, 
532,, 
533,, 
534,, 
535,, 
536,, 
537,, 
538,, 
539,, 
540,, 
541,, 
542,, 
543,, 
544,, 
545,, 
546,, 
547,, 
548,, 
549,, 
550,, 
551,, 
552,, 
553,, 
554,, 
555,, 
556,, 
557,, 
558,, 
559,, 
560,, 
561,, 
562,, 
563,, 
564,, 
565,, 
566,, 
567,, 
568,, 
569,, 
570,, 
571,, 
572,, 
573,, 
574,, 
575,, 
576,, 
577,, 
578,, 
579,, 
580,, 
581,, 
582,, 
583,, 
584,, 
585,, 
586,, 
587,, 
588,, 
589,, 
590,, 
591,, 
592,, 
593,, 
594,, 
595,, 
596,, 
597,, 
598,, 
599,, 
600,, 
601,, 
602,, 
603,, 
604,, 
605,, 
606,, 
607,, 
608,, 
609,, 
610,, 
611,, 
612,, 
613,, 
614,, 
615,, 
616,, 
617,, 
618,, 
619,, 
620,, 
621,, 
622,, 
623,, 
624,, 
625,, 
626,, 
627,, 
628,, 
629,, 
630,, 
631,, 
632,, 
633,, 
634,, 
635,, 
636,, 
637,, 
638,, 
639,, 
640,, 
641,, 
642,, 
643,, 
644,, 
645,, 
646,, 
647,, 
648,, 
649,, 
650,, 
651,, 
652,, 
653,, 
654,, 
655,, 
656,, 
657,, 
658,, 
659,, 
660,, 
661,, 
662,, 
663,, 
664,, 
665,, 
666,, 
667,, 
668,, 
669,, 
670,, 
671,, 
672,, 
673,, 
674,, 
675,, 
676,, 
677,, 
678,, 
679,, 
680,, 
681,, 
682,, 
683,, 
684,, 
685,, 
686,, 
687,, 
688,, 
